year,rank,title,artist,issue
1965,15,All I Really Want To Do,Cher,genre_manual_override
1965,20,"I'm Henry VIII, I Am",Herman's Hermits,lyrics_not_retrieved
1965,22,"The ""In"" Crowd",Ramsey Lewis Trio,lyrics_not_retrieved
1965,29,Houston,Dean Martin,genre_manual_override
1965,35,I Don't Wanna Lose You Baby,Chad & Jeremy,lyrics_not_retrieved
1965,52,Laugh At Me,Sonny,genre_manual_override
1965,58,(My Girl) Sloopy,Little Caesar And The Consuls,lyrics_not_retrieved
1965,59,Moon Over Naples,Bert Kaempfert And His Orchestra,lyrics_not_retrieved
1965,61,New Orleans,Eddie Hodges,lyrics_not_retrieved
1965,66,Moonlight And Roses (Bring Mem'ries Of You),Vic Dana,genre_manual_override
1965,68,"It's Too Late, Baby Too Late",Arthur Prysock,lyrics_not_retrieved
1965,69,It's A Man Down There,G.L. Crockett,lyrics_not_retrieved
1965,76,Colours,Donovan,genre_manual_override
1965,80,You Better Go,Derek Martin,lyrics_not_retrieved
1965,81,Two Different Worlds,Lenny Welch,lyrics_not_retrieved
1965,96,Can't Let You Out Of My Sight,Chuck Jackson & Maxine Brown,lyrics_not_retrieved
1985,2,St. Elmo's Fire (Man In Motion),John Parr,genre_manual_override
1985,14,Freedom,Wham!,genre_manual_override
1985,18,If You Love Somebody Set Them Free,Sting,genre_manual_override
1985,42,Fortress Around Your Heart,Sting,genre_manual_override
1985,52,Four In The Morning (I Can't Take Anymore),Night Ranger,lyrics_not_retrieved
1985,53,The Way You Do The Things You Do/My Girl,Daryl Hall  John Oates,lyrics_not_retrieved
1985,57,Love And Pride,King,genre_manual_override
1985,65,Summertime Girls,Y&T,genre_manual_override
1985,69,Love Theme From St. Elmo's Fire (Instrumental),David Foster,lyrics_not_retrieved
1985,70,I'll Be Around,What Is This,lyrics_not_retrieved
1985,76,You Wear It Well,El DeBarge With DeBarge,lyrics_not_retrieved
1985,84,Running Back,Urgent,genre_manual_override
1985,89,I Want My Girl,Jesse Johnson's Revue,genre_manual_override
1985,89,I Want My Girl,Jesse Johnson's Revue,lyrics_not_retrieved
1985,99,Your Love Is King,Sade,genre_manual_override
1985,100,Call Me,Go West,genre_manual_override
2005,1,We Belong Together,Mariah Carey,genre_manual_override
2005,6,Shake It Off,Mariah Carey,genre_manual_override
2005,7,Behind These Hazel Eyes,Kelly Clarkson,genre_manual_override
2005,16,Don't Phunk With My Heart,The Black Eyed Peas,lyrics_not_retrieved
2005,28,Since U Been Gone,Kelly Clarkson,genre_manual_override
2005,31,Don't Lie,The Black Eyed Peas,lyrics_not_retrieved
2005,59,My Humps,The Black Eyed Peas,lyrics_not_retrieved
2005,75,Untitled (How Can This Happen To Me?),Simple Plan,lyrics_not_retrieved
2005,78,Charlie Last Name: Wilson,Charlie Wilson,genre_manual_override
2005,88,Stay With Me (Brass Bed),Josh Gracin,lyrics_not_retrieved
2025,15,I Had Some Help,Post Malone Featuring Morgan Wallen,genre_manual_override
2025,16,APT.,ROSE & Bruno Mars,genre_manual_override
2025,24,30 For 30,SZA With Kendrick Lamar,genre_manual_override
2025,40,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,genre_manual_override
2025,63,BMF,SZA,genre_manual_override
2025,67,Te Queria Ver,Aleman X Neton Vega,genre_manual_override
